smiles,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,z_32,z_33,z_34,z_35,z_36,z_37,z_38,z_39,z_40,z_41,z_42,z_43,z_44,z_45,z_46,z_47,z_48,z_49,z_50,z_51,z_52,z_53,z_54,z_55,z_56,z_57,z_58,z_59,z_60,z_61,z_62,z_63,z_64,z_65,z_66,z_67,z_68,z_69,z_70,z_71,z_72,z_73,z_74,z_75,z_76,z_77,z_78,z_79,z_80,z_81,z_82,z_83,z_84,z_85,z_86,z_87,z_88,z_89,z_90,z_91,z_92,z_93,z_94,z_95,z_96,z_97,z_98,z_99,z_100,z_101,z_102,z_103,z_104,z_105,z_106,z_107,z_108,z_109,z_110,z_111,z_112,z_113,z_114,z_115,z_116,z_117,z_118,z_119,z_120,z_121,z_122,z_123,z_124,z_125,z_126,z_127
C=CC(=O)OCCOCCOC(=O)C=C,0.00051156804,-0.0048462264,-0.003376266,0.0127717815,-0.009583501,-0.00081526814,-0.00026806444,-0.0057132323,-0.0042260545,-0.0049747317,-0.0071693887,-0.007666369,-0.013429221,0.016369464,-0.0005632178,-0.02432411,-0.0039087795,-0.015788816,-0.0076408377,0.0014157426,-0.030862357,-0.0012424442,0.009011764,-0.008474231,-0.003608036,0.0045237206,0.0019165422,-0.0024154494,-0.0009445194,-0.0025528613,0.018127456,0.006150164,0.013200103,-0.0025114848,-0.009648997,0.0062117428,-0.024635516,-0.019701103,0.0013580346,-0.00038789678,-0.00981278,0.012945065,0.002261131,0.009766677,-0.006073246,-0.0105588,0.005781684,0.0009784587,0.020752618,-0.007684421,-0.008033793,-0.001819849,0.019496549,-0.00486304,0.011253003,0.0010026922,0.0019836603,-0.001956422,-0.019792998,0.0075108106,0.0046227723,-0.0033317776,0.0054876255,0.0051957695,0.019404367,-0.00406951,0.0062406594,0.0061493777,0.004690515,-0.006798973,0.012531806,-0.015874226,-0.00018741749,-0.009594269,-0.010122208,0.006457112,0.0020977808,0.020166444,-0.0054648174,0.009837614,0.012357246,0.002024293,0.016110182,0.0042269886,-0.001155138,0.007260373,0.0011103926,0.013566089,0.0056158276,-0.012885991,-0.0032880083,0.0010409588,-0.0048497147,-0.00022697216,0.008434261,0.008577194,0.0037974678,0.005800289,0.002599872,0.0076450286,0.009611012,0.0020500654,-0.009139768,-0.0068650735,0.011113169,0.009297248,0.00346494,-0.009817289,-0.0077084713,-0.014379734,-0.0060183425,0.014612107,-0.020435555,-0.0048013437,0.0047959294,0.0041415812,0.009878334,-0.006550585,-0.00060805655,0.008043576,-0.012116458,0.0025956724,0.0017085252,-0.009881346,-0.0028262478,-0.00871598,0.0154949855,0.0024547856
C=CC(=O)OC(C)(C)C,-0.00061526336,-0.0040581413,-0.0026074294,0.01189268,-0.008536153,-0.001181094,0.00018820167,-0.006396804,-0.004393103,-0.005175948,-0.006246184,-0.008162688,-0.01274829,0.016188934,-0.0012788926,-0.021738013,-0.005329175,-0.015474647,-0.00695062,0.001628045,-0.030835303,-6.832881e-06,0.009775696,-0.006837709,-0.0028494245,0.0032181023,0.0020788,-0.0023327814,-0.0010106564,-0.0026359102,0.01767237,0.0046303426,0.013346558,-0.0033680622,-0.009494368,0.0062183756,-0.025780335,-0.0198456,0.00034842733,-0.00035698805,-0.007741645,0.013633929,0.0006189863,0.010962141,-0.007109523,-0.009936855,0.005692267,0.0009601824,0.022424493,-0.008689288,-0.007723602,-0.0031362623,0.019631227,-0.0058980915,0.0113196075,0.0004110965,0.0008071428,-0.0028853028,-0.018578148,0.007853828,0.0036714748,-0.002469792,0.003979246,0.0046841325,0.018656962,-0.0025645187,0.0058261408,0.0058072777,0.0039916476,-0.0070118424,0.011247097,-0.016739,-0.00022192858,-0.009483552,-0.010369839,0.005276696,0.0020622555,0.019822136,-0.004558577,0.0090276515,0.013510346,0.003929928,0.01534888,0.005137548,-0.0013637785,0.0066516045,0.0018995996,0.013375825,0.005856517,-0.012778452,-0.0030283947,0.00043101422,-0.00557957,-0.00059104944,0.007446346,0.0076594707,0.005486733,0.006435152,0.0020497285,0.0076380624,0.009469453,0.0012138663,-0.010162091,-0.007843819,0.012132372,0.007370681,0.0030533727,-0.010923576,-0.009234071,-0.014879381,-0.0075390283,0.014161006,-0.019245304,-0.0060741752,0.0042067887,0.0043462534,0.011066649,-0.0055272663,-0.0012646865,0.008203232,-0.010944349,0.003852128,0.0008940059,-0.008880293,-0.0028672512,-0.00811876,0.015587127,0.0023040678
COC(OC)(C(=O)c1ccccc1)c1ccccc1,0.003148173,-0.0024987236,-0.002648307,0.012747666,-0.009650325,-0.00029274775,-0.001387341,-0.005632421,-0.0035250438,-0.002548439,-0.009401804,-0.007706036,-0.014602523,0.016937923,0.0034663472,-0.025301734,-0.005868083,-0.019709,-0.008406535,0.0018577892,-0.033050124,-0.0030666797,0.0087499535,-0.0076509425,-0.0024471085,0.004313621,0.001428518,-0.002457568,-0.0006258432,-0.0032983515,0.018481685,0.007925747,0.014022408,-0.0027604725,-0.01126783,0.0060269777,-0.025745947,-0.020583576,0.0013088677,-0.0009627044,-0.012094279,0.012816552,0.002252045,0.008893335,-0.006897388,-0.009360584,0.0043990267,-0.0015082601,0.022151804,-0.0070776613,-0.008111557,0.00080373883,0.022066465,-0.005192337,0.01311467,-0.0012729322,0.003035943,-0.0017869922,-0.021038376,0.007103068,0.004391305,-0.0038336562,0.006502512,0.0049527357,0.019603709,-0.0038961358,0.009402808,0.007284592,0.0063602487,-0.0075583416,0.013167275,-0.015316816,0.0023225304,-0.009545311,-0.009546506,0.006685692,0.0021081008,0.020688323,-0.003983426,0.012049812,0.014059291,0.003365185,0.01734978,0.0033668224,-0.003237445,0.008864891,0.0020930422,0.014444158,0.0051276363,-0.012534916,-0.0016094679,0.0015887571,-0.00437227,-6.4882915e-05,0.0088786585,0.010857318,0.0025499389,0.005032932,0.0019630662,0.00507149,0.008354461,-0.0010249168,-0.011317774,-0.0056045805,0.009698972,0.008569382,0.004326013,-0.008863791,-0.0073616654,-0.01638535,-0.004735453,0.014615199,-0.022399707,-0.0042899325,0.0058352407,0.0041105314,0.0084754,-0.004257106,-0.0004665628,0.0069650235,-0.013448577,0.0029446753,0.0026255012,-0.010008303,-0.0011679935,-0.009598043,0.012368746,0.0040356163
C=C(C)C(=O)OCCOCCOC(=O)C(=C)C,0.0017204741,-0.004818557,-0.003496576,0.013867872,-0.008823004,-0.0012328329,-0.0007348545,-0.005457068,-0.0026861285,-0.0035492945,-0.008314424,-0.006758283,-0.013274377,0.016094813,0.0016223579,-0.025465475,-0.0029887855,-0.015422726,-0.008805323,0.0015817154,-0.03033617,-0.001552568,0.0077541694,-0.009088825,-0.0036379013,0.0052128267,0.0017396496,-0.0019116356,-0.0005812105,-0.0024688598,0.017654208,0.0070085763,0.012985939,-0.002394412,-0.010122212,0.0049142633,-0.022286503,-0.019176422,0.0015275369,-0.00096993055,-0.011798791,0.011855563,0.002581452,0.008619206,-0.0055221543,-0.009616218,0.004786145,-0.0006941473,0.01890123,-0.006594103,-0.008005673,0.00046524778,0.01909603,-0.004983718,0.010534685,0.00039597927,0.0029942626,-0.0010962905,-0.021118555,0.0062273154,0.0043564104,-0.0032164687,0.006226726,0.0045166966,0.018211385,-0.0046535353,0.0067252293,0.006459615,0.006023973,-0.0061497134,0.01245638,-0.014398824,0.0012341086,-0.008859778,-0.008345356,0.0068240045,0.0017369129,0.01883632,-0.004841651,0.010752895,0.01077101,0.0017388426,0.016523065,0.0030698143,-0.0015562251,0.0074799126,0.0006820131,0.013363254,0.0057140673,-0.012725446,-0.002369335,0.0014408343,-0.003916154,0.0005689445,0.008039433,0.009256745,0.0021440191,0.0047894106,0.0026023074,0.006354819,0.0082759615,0.0008766819,-0.008250082,-0.0059867105,0.008859883,0.009394754,0.0036724051,-0.008105177,-0.0066814255,-0.013889841,-0.0044757854,0.013632894,-0.020558026,-0.0038731871,0.0049595153,0.0048349383,0.0073865824,-0.0064063156,-0.000107276486,0.0067054722,-0.013564729,0.0020728325,0.0030263877,-0.009169423,-0.0020444863,-0.008161407,0.013856137,0.0025908537
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,0.0015926547,-0.0053263493,-0.0031388067,0.012698337,-0.008817093,-0.0010260558,-0.00092059,-0.0057308786,-0.0026031989,-0.0045922464,-0.008188529,-0.0063967975,-0.013222629,0.015802337,0.0009646504,-0.024102239,-0.0029180832,-0.014432825,-0.008319845,0.0022478867,-0.029291281,-0.0013363014,0.007835107,-0.009312162,-0.003972221,0.0051654656,0.001606869,-0.0017650613,-0.00021736603,-0.0024133753,0.016846541,0.007391119,0.012798926,-0.002107986,-0.009577608,0.004989112,-0.021571552,-0.018841173,0.0017698174,-0.0013216855,-0.011490844,0.011185663,0.0027217222,0.008279198,-0.005181621,-0.010018065,0.004871047,-0.00013596658,0.018720023,-0.0069171847,-0.008013995,-0.0007625297,0.018206595,-0.0041187326,0.009672601,0.00070081884,0.0026281672,-0.00085986685,-0.020362677,0.006464915,0.004285652,-0.0026780237,0.0063413344,0.0047996226,0.018459376,-0.0052224393,0.006061754,0.006218993,0.005403542,-0.0053897775,0.0130036585,-0.015166053,0.0008176565,-0.008346863,-0.008043516,0.006672035,0.0018633306,0.018969033,-0.0050118016,0.010294561,0.010171475,0.0011739284,0.015981337,0.0033209575,-0.0013093576,0.007339484,0.0011506728,0.012477835,0.0058629243,-0.012831588,-0.0031865202,0.0017238688,-0.0038829665,0.0011431086,0.007830034,0.009371547,0.0021699192,0.00475371,0.0026341921,0.0068378123,0.009525804,0.0013962868,-0.00797625,-0.006231806,0.008436431,0.009672061,0.0036000349,-0.00795433,-0.0063160444,-0.013484808,-0.003832615,0.013315257,-0.019896997,-0.004030951,0.004155325,0.00468931,0.007108157,-0.0063484544,-0.00035129674,0.0062254267,-0.013138863,0.0017865477,0.0028255284,-0.009332294,-0.0021633836,-0.008057952,0.0149612315,0.0023118015
C=CC(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C=C,0.0018451205,-0.00781651,-0.0009503346,0.008650799,-0.004549678,-0.0011007092,-0.00246135,-0.005544888,-0.0024279398,-0.005516282,-0.0055377074,-0.0030366348,-0.010623353,0.010036679,0.00044448813,-0.015537247,-0.0015256759,-0.006996551,-0.0049281525,0.0032755192,-0.017473638,0.00016268459,0.0053413846,-0.008473789,-0.0043924013,0.004992216,0.00048042042,-0.0021529477,0.0011602268,-0.00075591914,0.009909575,0.0038844286,0.008656069,-0.0024093345,-0.002688285,0.0020339992,-0.010765006,-0.011506054,0.0028678677,-0.003226155,-0.006875525,0.0057305032,0.001811807,0.0053340755,-0.00022231787,-0.008465231,0.0028190399,-0.00054684095,0.013350199,-0.0038732276,-0.0047596227,-0.0017367564,0.011042973,-0.0002611659,0.0052122753,0.002576265,0.0009907437,-0.0005462216,-0.01563499,0.0028985073,0.0013713781,0.0010080598,0.00521815,0.004207449,0.0123995785,-0.0044559976,0.0008449729,0.00399712,0.0026878612,-0.001013278,0.009874603,-0.012220954,0.0013927836,-0.003953203,-0.0017994721,0.0030916035,0.0017261961,0.01375648,-0.005043703,0.0051269354,0.0053997943,-0.0018105805,0.01039477,0.0027512526,0.0008428991,0.0041534407,0.0007493133,0.008031142,0.0063203624,-0.009674712,-0.0053132838,0.0013639238,-0.002630888,0.003456118,0.0045771124,0.0073878425,0.0014866954,0.0027506636,0.003199584,0.0049846107,0.0078781955,0.0051583787,-0.004574707,-0.004832656,0.004271143,0.008211279,0.0051842453,-0.0036242476,-0.0036072582,-0.006965993,-0.0019597989,0.007873319,-0.012866449,-0.0033015646,5.8097765e-05,0.004011782,0.0034078453,-0.0037567625,-0.00013704295,0.0033672592,-0.010889348,-0.0003400175,0.0020495132,-0.006713139,-0.0032266607,-0.0028226613,0.0145428125,0.00059372373
C=C(C)C(=O)OCCOCCOCCOCCOC(=O)C(=C)C,0.002073912,-0.005139975,-0.0025941078,0.01273698,-0.0070689037,-0.001075129,-0.0018441314,-0.0051703965,-0.0023297933,-0.003263826,-0.007948229,-0.0053064656,-0.012692928,0.014113917,0.0024790126,-0.023223637,-0.0027841423,-0.013511203,-0.008392511,0.0019812044,-0.026940811,-0.0013404635,0.006499761,-0.009287002,-0.0037129356,0.005687723,0.00091920514,-0.0010262952,7.588137e-05,-0.0019797357,0.015034915,0.0066352035,0.012418967,-0.0022828698,-0.008676082,0.004279677,-0.018515926,-0.017716229,0.0017150431,-0.0022114362,-0.011560933,0.01035243,0.0023346758,0.0074290456,-0.004518831,-0.008848815,0.0038871542,-0.0015678294,0.016935065,-0.005798649,-0.007641964,0.00047419965,0.017318023,-0.004060621,0.008637242,0.00048294105,0.0028667254,-0.00020730495,-0.019857597,0.005316457,0.003819,-0.0019320333,0.006003175,0.0044996105,0.016436143,-0.0046028835,0.0058648326,0.0064550256,0.0055365665,-0.005066855,0.012643127,-0.0137204835,0.0020692777,-0.008204608,-0.006360627,0.0062239533,0.001634432,0.017354712,-0.0045154663,0.010124141,0.008905436,0.0009600036,0.015364101,0.0023256405,-0.0018329378,0.0070069227,0.00054475944,0.011772872,0.0059388173,-0.012357576,-0.0029370151,0.0018852688,-0.0031851125,0.0013267677,0.0066186534,0.009296949,0.0010031238,0.004603252,0.00256037,0.005676673,0.008339603,0.0014322517,-0.0068696737,-0.005497299,0.006850568,0.009108823,0.0041913614,-0.0060400898,-0.005561727,-0.012106031,-0.0030497536,0.011610371,-0.01904959,-0.003947762,0.0042143166,0.004959815,0.005591179,-0.005564519,-0.00023972988,0.0051428387,-0.013794803,0.001555576,0.0031960616,-0.008611897,-0.0019753445,-0.007132958,0.013275096,0.0023679864
C=C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(=O)C(=C)C,0.0020254692,-0.007812679,-0.0010010693,0.008960804,-0.00383193,-0.0011572307,-0.0025559464,-0.005335165,-0.0023234165,-0.0050894697,-0.0052210432,-0.0030410353,-0.009963326,0.008704817,0.00064981775,-0.014878847,-0.0016235616,-0.005766414,-0.005416667,0.0027570408,-0.01648961,1.3117678e-06,0.005339586,-0.00819739,-0.004183206,0.0047481903,0.0005354355,-0.0014658888,0.0009848438,-0.00025310367,0.009508396,0.0027943659,0.008382104,-0.0027405506,-0.0022806684,0.001986038,-0.00928388,-0.010772685,0.0025173435,-0.0031974837,-0.006815225,0.005527503,0.0015088348,0.0048200376,-6.0781837e-05,-0.00784313,0.0027474687,-0.0007191412,0.012333724,-0.0037826812,-0.0044509377,-0.0010135807,0.010250205,-0.00012745603,0.0047690235,0.0028705182,0.0010079788,-0.0005092127,-0.015063936,0.0021418503,0.0010828245,0.001232774,0.0049381666,0.003468769,0.011719368,-0.0041671246,0.00024020323,0.0041825464,0.0029853527,-0.0005378751,0.008838432,-0.011494448,0.0009877346,-0.0038438924,-0.00074765226,0.002478552,0.0017642872,0.012378203,-0.005377828,0.0041428553,0.0046274513,-0.0014847368,0.009647211,0.002752042,0.0015114862,0.0035848934,0.00012014806,0.007610183,0.0059026224,-0.008553014,-0.0046880534,0.001048943,-0.0027414733,0.003103335,0.004133654,0.006697883,0.00094444863,0.0022604265,0.0029146832,0.004693459,0.006882391,0.0052526062,-0.0037119202,-0.005203665,0.0039732493,0.008004392,0.0049153157,-0.003377122,-0.0036093593,-0.006381816,-0.0018859468,0.00711244,-0.012099268,-0.0033331262,-0.00043713674,0.0042140274,0.0029392121,-0.004174265,-0.00028083613,0.0032914141,-0.010481201,0.00011836272,0.001752032,-0.0060975845,-0.0034091123,-0.0019929945,0.014152776,0.0007595215
c1ccc2c(c1)-c1ccccc1C2(c1ccc(OCCOCC2CO2)cc1)c1ccc(OCCOCC2CO2)cc1,0.0025366554,-0.0036881473,0.003650669,0.003667629,-0.00023999438,-0.0013385888,-0.002994468,-0.0024904972,-0.0010911436,-0.0030037165,-0.002659828,-0.00068698055,-0.0040653273,0.0034740686,0.0020804699,-0.008077323,-0.0040573794,-0.0033681341,-0.0036111,0.002097061,-0.010031732,-0.0017664153,0.0038222186,-0.0043361,-0.0007612526,0.0025767218,-0.0016741105,-0.0014397717,0.0007834658,-0.0004600715,0.0033840167,0.0012954283,0.0036350628,-0.004336997,0.0013653468,0.0026128255,-0.0034953887,-0.00597563,0.0023577567,-0.0013886532,-0.004968213,0.0024530422,0.00093079126,-0.00077794865,-0.00043100864,-0.002310709,0.0005019102,0.00020403229,0.0074987765,-0.0014808215,-0.0024067778,-0.001108719,0.0061732032,0.001835272,0.0026102848,-0.0003540991,-0.0010536117,-0.0012475245,-0.007548805,0.001503678,0.00085492246,0.0012491476,0.004437737,0.0021881864,0.005707958,-0.002105657,0.0008510093,0.002227813,0.0036840057,-0.00010355003,0.003211867,-0.0042863116,0.0023371968,-0.0035899756,0.0012992658,-0.0006075045,0.0018990943,0.0062337248,-0.0020394912,0.0025526183,0.0051559648,-0.0001312904,0.0058185523,0.0010918296,0.0011328328,0.0035261363,-0.000876775,0.0035448456,0.0023102914,-0.0027328087,-0.00086883456,-0.00023895968,-0.0024072423,0.0004449715,0.0022875639,0.005054302,-0.0004524961,0.0013476545,0.0013569158,0.00030350033,0.002245671,0.0024292544,-0.0031459443,-0.004442257,0.0013435627,0.00590939,0.0045207664,-0.00032846513,-0.0016632602,-0.0052714925,-0.0006116573,0.003521835,-0.008450786,-0.0009534946,-0.0014581792,-1.5307218e-05,0.0018875971,0.00079769734,0.00013132836,0.0025605597,-0.0059917364,0.0018883934,-0.0019173247,-0.0038638636,-0.0026682052,0.00070734834,0.006612993,0.0011027139
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.003027171,-0.002488587,-0.002250133,0.014199754,-0.010054722,-0.00076240744,-0.0006858632,-0.0060466873,-0.003346486,-0.0018588816,-0.010065193,-0.0071915556,-0.015266379,0.016941015,0.0032712421,-0.0258401,-0.005932711,-0.020646764,-0.0086345,0.0022882558,-0.032943234,-0.0030889926,0.008289328,-0.007454708,-0.0024528902,0.0042183553,0.001122151,-0.002521026,-0.0014640959,-0.0034382343,0.018864803,0.008849472,0.014396865,-0.0021335112,-0.01144593,0.006411463,-0.025758136,-0.020938393,0.0013429499,-0.00074575655,-0.013458228,0.0121390065,0.0024869074,0.009311362,-0.00731901,-0.009374184,0.004563407,-0.0017372752,0.02171481,-0.0066256747,-0.0090430565,0.0017734505,0.02334221,-0.0053437073,0.013504099,-0.0015672208,0.003796759,-0.00095669855,-0.022253996,0.0070683444,0.0053866096,-0.0039338516,0.006465585,0.0053009065,0.019727198,-0.004185718,0.010315152,0.008061391,0.007006321,-0.008193181,0.013636518,-0.014340279,0.0031916816,-0.00967006,-0.010742741,0.007479909,0.0015883883,0.020899158,-0.003881677,0.011417016,0.014380129,0.0035535172,0.01799564,0.0025772294,-0.0034943428,0.009138735,0.0018917061,0.014646423,0.0046163015,-0.013161766,-0.0017358512,0.0013362011,-0.0036325064,-0.000435628,0.00894734,0.010516414,0.0024038395,0.005048818,0.0026448874,0.005000933,0.0086943,-0.00084397197,-0.010801757,-0.0052352087,0.00947459,0.00928396,0.0046679964,-0.008838122,-0.00708519,-0.016888242,-0.004444493,0.014951872,-0.0237882,-0.0041242177,0.007327483,0.0047365725,0.008020354,-0.0045775855,0.00019467832,0.006768833,-0.01328582,0.002711244,0.002611111,-0.009769753,-0.0011449279,-0.010563472,0.011701939,0.004423147
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,0.0037457552,-0.0027677286,-0.0012903605,0.014022255,-0.00791532,-0.0019299202,-0.0012200298,-0.0047989413,-0.00387081,-0.002072163,-0.008898208,-0.0056128567,-0.01319267,0.014869517,0.0029970477,-0.0240136,-0.006038824,-0.018407827,-0.0072224457,0.001517104,-0.028910734,-0.0033516295,0.0058484804,-0.007721829,-0.0015350317,0.0051263752,0.0009631645,-0.0035769362,-0.0011295136,-0.0018549897,0.0146890255,0.0069096773,0.012501728,-0.0019289607,-0.008603016,0.0058924872,-0.021732427,-0.017715365,0.00094796205,-0.0005797846,-0.011821103,0.011284481,0.0034756376,0.0064242454,-0.005986614,-0.008224648,0.0044857897,-0.0027835164,0.01764316,-0.0053689675,-0.008209527,0.002122486,0.020472256,-0.004611424,0.012619065,0.00022570277,0.0025679534,-0.001219159,-0.019860113,0.0064718025,0.005478246,-0.0029530302,0.0066434387,0.00630337,0.017116077,-0.0045194803,0.009634465,0.0064060753,0.0067264372,-0.008162759,0.013319872,-0.012459416,0.003523251,-0.009823887,-0.0073914304,0.0070550917,0.0011030231,0.017994644,-0.0030380255,0.010278756,0.010867077,0.0014476907,0.016831871,0.0016765097,-0.0022252323,0.00839759,0.0014770115,0.013021528,0.0053535793,-0.011878086,-0.0013835253,0.0009405492,-0.0020540897,0.00094160903,0.008265999,0.0098023005,0.0026167026,0.004701763,0.0035498135,0.004408802,0.0072476184,0.001502919,-0.010473685,-0.004218569,0.0071852678,0.008124186,0.00424405,-0.0053578075,-0.004456481,-0.014193919,-0.0044405553,0.013389492,-0.021685904,-0.0042085457,0.006246111,0.0043489784,0.0077093462,-0.004055335,8.471124e-05,0.006357466,-0.013364418,0.001534597,0.0019847108,-0.009560721,-0.001217694,-0.0091466885,0.010428256,0.004286575
CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.0025941636,-0.0052884184,-0.000890648,0.01137461,-0.0052723824,-0.0020413992,-0.0018917685,-0.0050019436,-0.001372782,-0.003391188,-0.007460809,-0.0037823787,-0.0114823785,0.012520606,0.0028751348,-0.020376693,-0.003321886,-0.011551307,-0.0074301413,0.0037912894,-0.02312446,-0.0015181222,0.0052487385,-0.008700971,-0.0033993663,0.005526216,0.00037777517,-0.0012017136,0.000801119,-0.0016865134,0.012853644,0.005779901,0.010682592,-0.0029832346,-0.006476097,0.002277745,-0.015035246,-0.015321846,0.0015255972,-0.0031146137,-0.009803709,0.00834511,0.0021169921,0.006174776,-0.0023771562,-0.00800313,0.004201593,-0.0023679985,0.015196515,-0.004984187,-0.0066621224,0.00057455525,0.015479889,-0.0030009425,0.007906191,0.00016056048,0.0023851367,-0.00045200996,-0.01807033,0.0041633253,0.0025712661,0.000120875426,0.0063941646,0.0040311217,0.013228886,-0.004256147,0.004836632,0.0051357727,0.0060358066,-0.0045375163,0.011863584,-0.012426496,0.0023935214,-0.0055629546,-0.0030188682,0.0048109284,0.0022447342,0.015242674,-0.0040394207,0.009359459,0.008062024,-0.00012785941,0.012627207,0.0019916724,-0.0021391055,0.0066918377,0.0014768997,0.009887325,0.006729289,-0.011230849,-0.0036529396,0.0015727533,-0.0029365472,0.0017696829,0.005190552,0.009654203,0.00092671905,0.0029186266,0.002743318,0.00471815,0.007825758,0.0017000008,-0.006825541,-0.005637056,0.00488696,0.00819003,0.0064802854,-0.004542738,-0.0042548478,-0.01083441,-0.0020939726,0.010621294,-0.016099654,-0.0041686576,0.0036281645,0.004049089,0.0041661425,-0.003978246,0.0003855375,0.0033425232,-0.012843244,0.0010435944,0.0036708834,-0.006545215,-0.0022475212,-0.005112263,0.012530882,0.0026191715
NCCNCCN(CCNCCC(CN)CCN)CCN(CCNCCN)CCN(CCN)CCN,0.0022939602,-0.0059802774,-0.0010461044,0.010220136,-0.0048960294,-0.0011487347,-0.0016983412,-0.0038672024,-0.0017707795,-0.0041037863,-0.006526992,-0.004378939,-0.009817915,0.012340315,0.0017491854,-0.02004685,-0.0022135302,-0.010722467,-0.006103406,0.0027688183,-0.020820787,-0.0012335768,0.0053793173,-0.008800682,-0.0036626898,0.0051138583,0.00021395693,-0.0013735696,0.0008803634,-0.0022364808,0.010644465,0.004363974,0.009326055,-0.0023218992,-0.005525386,0.0025669914,-0.013419248,-0.01427799,0.0016827607,-0.0021986132,-0.009189475,0.007396941,0.0016682725,0.0048559154,-0.0015643593,-0.007305431,0.0031434558,-0.002843229,0.01416481,-0.004162958,-0.0056645977,0.0007794518,0.012991442,-0.0020442125,0.006858605,0.001553617,0.0019896058,-0.0003690403,-0.017686205,0.0038506908,0.002272237,0.0003639171,0.00616467,0.0039011075,0.01277208,-0.003950876,0.0036287548,0.0031331554,0.004808654,-0.0043062186,0.009678531,-0.01071078,0.0016410202,-0.004869949,-0.0029787882,0.0030747913,0.0033181254,0.015097254,-0.004650577,0.0059241666,0.0063420236,-0.00069538876,0.0111022955,0.0019159737,-0.00047877245,0.0061508007,0.0004990548,0.009457705,0.0059457542,-0.009878016,-0.0032237945,0.00071875285,-0.0022034273,0.0015064036,0.004637501,0.009348793,0.0009999592,0.0022609122,0.003235672,0.005551505,0.007010256,0.0024838932,-0.0057019107,-0.0050475886,0.005090234,0.008784671,0.0056367656,-0.0029309804,-0.004422549,-0.008648881,-0.0028704815,0.008574038,-0.015575916,-0.003665709,0.0033530649,0.0044774353,0.0051910495,-0.0036376351,-8.507911e-05,0.0044112997,-0.012063853,0.0003213128,0.0034400495,-0.0075992206,-0.0019622096,-0.0036975765,0.011709976,0.002432148
CC(N)COCC(C)OCC(C)OCC(C)N,0.0007661646,-0.0041153263,-0.0027698763,0.012613615,-0.009147724,-0.0008661533,0.00028550066,-0.0055653933,-0.0030093207,-0.0042126174,-0.008287457,-0.0072661443,-0.0132524725,0.016616005,0.00081785256,-0.024593974,-0.0033663064,-0.01589114,-0.008388646,0.0019199979,-0.031245632,-0.0018943294,0.008944642,-0.008229364,-0.0039884383,0.003919823,0.0017934735,-0.0015420365,-0.0008624401,-0.0033161659,0.01821944,0.0068543083,0.012984386,-0.0025584337,-0.010406895,0.004991049,-0.023775596,-0.019890158,0.0011935914,-0.0010186797,-0.01091754,0.012932787,0.002015151,0.009512387,-0.005923991,-0.009775064,0.005688565,0.00014432892,0.020625398,-0.007341047,-0.008456457,-0.0007722676,0.019647796,-0.0054571372,0.0113082975,0.00011920463,0.0025568912,-0.0016901828,-0.020310707,0.007394054,0.0047657583,-0.0030142134,0.0058065727,0.00427965,0.018622858,-0.0038664732,0.0066567613,0.0061779814,0.0056761233,-0.006827296,0.01238581,-0.015520341,0.00050922483,-0.008692704,-0.009007226,0.0064175026,0.002640522,0.019343873,-0.0044284044,0.01047641,0.011921338,0.002954172,0.015580518,0.0039689234,-0.0017749276,0.0076832753,0.0017770706,0.0130672185,0.005964007,-0.013203375,-0.0029394329,0.0013677441,-0.004374866,5.1036943e-05,0.0076669017,0.009099658,0.0034743352,0.0048196823,0.0020280902,0.007013037,0.009265353,0.0007418394,-0.009524217,-0.0071173524,0.010364218,0.008944474,0.004330118,-0.009074352,-0.0072544683,-0.014541204,-0.0053565893,0.014274677,-0.01984111,-0.005036108,0.0051215366,0.0046463106,0.008782793,-0.006433784,-0.00082731596,0.0071621407,-0.012682674,0.0023176074,0.0028855437,-0.009019632,-0.0022830009,-0.007894183,0.014567837,0.0024823342
