target_tg_c,strategy,status,evidence_scope,evidence_source,attempts,successes,failures,raw_pass_rate,beta_pass_mean,mean_reward,best_selected_reward,proposal_best_distance_c,best_selected_target_distance_c,observations,target_utility,principle_uncertainty_bonus,target_score,readiness_gate,target_specific,map_principle,map_principle_posterior,pievo_posterior_entropy,transfer_reference_target_tg_c,transfer_decay_weight,allocation_pool,allocation_fraction,allocation_per_100,recommended_next_action,target_exploration_bonus,global_allocation_fraction
190.0,vae_latent_local_search,active,target_sweep,vae_latent_local_search_target_sweep,200,38,162,0.19,0.19306930693069307,0.6557852829829415,0.9995236839444028,0.166559,0.0023821476506213,38,0.6947885694025371,0.03581265730644151,0.7560188749507302,True,True,maleimide_rigid_network,0.10468356733896238,3.289598945005688,,1.0,target_specific,0.5709933790896438,44,"allocate 44/100 for 190.0 C target-conditioned proposals; rerun ledger, predictor, Harness and PiEvo.",0.02541764824175163,
190.0,functional_group_replacement,active,target_sweep,feedback_guided_replacement_target_sweep,120,13,107,0.10833333333333334,0.11475409836065574,0.5398062288199927,0.9886459272033438,0.994115,0.0570951118868663,13,0.6355210604776664,0.03627510749548911,0.704555927766827,True,True,reaction_a5dd26ae10ad,0.0931223126127724,3.284225785311335,,1.0,target_specific,0.42900662091035624,33,"allocate 33/100 for 190.0 C target-conditioned proposals; rerun ledger, predictor, Harness and PiEvo.",0.032759759793671454,
190.0,llm_rag_principle_generation,active,global_transfer,generation_record_summary,2,2,0,1.0,0.75,0.9500386409472245,0.9993641519636245,0.003180251367354,0.003180251367354,2,0.840017388426251,0.0,1.218207371754272,True,False,,,,195.0,0.9394130628134758,global_transfer,0.5472717075445892,12,allocate 12/100 transferable exploration budget from 195.0 C evidence; validate at 190.0 C before use.,0.3567576086190608,0.5112634831004016
190.0,sft_candidate_generator,active,global_transfer,sft_trained_projection_generation_record_summary,23,23,0,1.0,0.96,0.9800251136418752,0.9993641519636245,0.003180251367354,0.003180251367354,23,0.969011301138844,0.0,1.0287927326548598,True,False,,,,195.0,0.9394130628134758,global_transfer,0.24430612929795428,6,allocate 6/100 transferable exploration budget from 195.0 C evidence; validate at 190.0 C before use.,0.126132862147217,0.2282317921532103
190.0,diffusion_or_flow_matching,active,global_transfer,diffusion_flow_trained_projection_generation_record_summary,23,23,0,1.0,0.96,0.8917715504049181,0.9989274826690828,0.0053654644459868,0.0053654644459868,23,0.9292971976822132,0.0,0.991484785089775,True,False,,,,195.0,0.9394130628134758,global_transfer,0.20842216315745646,5,allocate 5/100 transferable exploration budget from 195.0 C evidence; validate at 190.0 C before use.,0.126132862147217,0.1947088431983659
190.0,llm_smiles_generation,suppressed,global_transfer,strategy_feedback,1,0,1,0.0,0.3333333333333333,,,,,0,0.3333333333333333,0.0,-0.35672296083773747,False,False,,,,195.0,0.9394130628134758,global_transfer,0.0,0,hold: wait for predictor/chemistry/Harness evidence before allocating target budget.,0.4369370514861224,0.0
195.0,vae_latent_local_search,active,target_sweep,vae_latent_local_search_target_sweep,200,42,158,0.21,0.21287128712871287,0.6221896405207274,0.9882629616738088,0.20046,0.0590323055353962,42,0.6845930466916104,0.03703713362491495,0.7470478285582769,True,True,reaction_839cd29ef5d7,0.07407165937712616,3.353028625740692,,1.0,target_specific,0.5214291090483586,39,"allocate 39/100 for 195.0 C target-conditioned proposals; rerun ledger, predictor, Harness and PiEvo.",0.02541764824175163,
195.0,functional_group_replacement,active,target_sweep,feedback_guided_replacement_target_sweep,120,11,109,0.09166666666666666,0.09836065573770492,0.7185098623461168,0.9988913545314048,0.373243,0.0055463023528545,11,0.6896442321773935,0.009205420872327902,0.7316094128433928,True,True,long_aliphatic_penalty,0.7698644781918025,1.304661169614019,,1.0,target_specific,0.47857089095164135,36,"allocate 36/100 for 195.0 C target-conditioned proposals; rerun ledger, predictor, Harness and PiEvo.",0.032759759793671454,
195.0,llm_rag_principle_generation,active,global_transfer,generation_record_summary,2,2,0,1.0,0.75,0.9500386409472245,0.9993641519636245,0.003180251367354,0.003180251367354,2,0.840017388426251,0.0,1.2967749970453115,True,False,,,,195.0,1.0,global_transfer,0.5472717075445892,14,allocate 14/100 transferable exploration budget from 195.0 C evidence; validate at 195.0 C before use.,0.3567576086190608,0.5112634831004016
195.0,sft_candidate_generator,active,global_transfer,sft_trained_projection_generation_record_summary,23,23,0,1.0,0.96,0.9800251136418752,0.9993641519636245,0.003180251367354,0.003180251367354,23,0.969011301138844,0.0,1.095144163286061,True,False,,,,195.0,1.0,global_transfer,0.24430612929795428,6,allocate 6/100 transferable exploration budget from 195.0 C evidence; validate at 195.0 C before use.,0.126132862147217,0.2282317921532103
195.0,diffusion_or_flow_matching,active,global_transfer,diffusion_flow_trained_projection_generation_record_summary,23,23,0,1.0,0.96,0.8917715504049181,0.9989274826690828,0.0053654644459868,0.0053654644459868,23,0.9292971976822132,0.0,1.0554300598294302,True,False,,,,195.0,1.0,global_transfer,0.20842216315745646,5,allocate 5/100 transferable exploration budget from 195.0 C evidence; validate at 195.0 C before use.,0.126132862147217,0.1947088431983659
195.0,llm_smiles_generation,suppressed,global_transfer,strategy_feedback,1,0,1,0.0,0.3333333333333333,,,,,0,0.3333333333333333,0.0,-0.3797296151805441,False,False,,,,195.0,1.0,global_transfer,0.0,0,hold: wait for predictor/chemistry/Harness evidence before allocating target budget.,0.4369370514861224,0.0
200.0,vae_latent_local_search,active,target_sweep,vae_latent_local_search_target_sweep,200,41,159,0.205,0.2079207920792079,0.6184954201442762,0.9915041056289414,0.305115,0.0426609510244873,41,0.6837056715961085,0.036887039230498374,0.7460103590683586,True,True,sulfone_diamine_rigidity,0.07782401923754066,3.200494343516002,,1.0,target_specific,0.5325683446639348,41,"allocate 41/100 for 200.0 C target-conditioned proposals; rerun ledger, predictor, Harness and PiEvo.",0.02541764824175163,
